kmage;mileage;price_rub;price_usd;vol;power;fuel
6700;4163;770000;10479,8000;1,6;82;Бензин
53600;33305;785000;10683,9500;1,6;113;Бензин
47759;29676;556000;7567,2300;1,6;84;Бензин
72658;45148;453000;6165,3900;1,6;82;Бензин
106000;65865;399000;5430,4400;1,6;84;Бензин
35710;22189;725000;9867,3400;1,6;82;Бензин
49985;31059;450000;6124,5600;1,2;75;Бензин
34679;21549;660000;8982,6800;1,6;82;Бензин
75000;46603;640000;8710,4800;1,6;82;Бензин
225000;139808;339000;4613,8300;1,4;75;Бензин
108802;67606;397000;5403,2200;1,6;84;Бензин
45000;27962;720000;9799,2900;1,6;113;Бензин
65878;40935;485000;6600,9100;1,6;84;Бензин
30000;18641;750000;10207,6000;1,6;102;Бензин
40000;24855;730000;9935,3900;1,6;113;Бензин
233000;144779;320000;4355,2400;1,4;75;Бензин
0;0;916000;12466,8800;1,6;113;Бензин
0;0;876000;11922,4700;1,6;82;Бензин
118000;73322;520000;7077,2700;1,6;84;Бензин
0;0;857000;11663,8800;1,6;82;Бензин
143205;88983;305000;4151,0900;1,4;75;Бензин
64400;40016;655000;8914,6300;1,6;102;Бензин
51574;32047;590000;8029,9700;1,6;82;Бензин
105000;65244;405000;5512,1000;1,6;103;Бензин
39000;24233;779000;10602,2900;1,6;113;Бензин
45000;27962;670000;9118,7900;1,6;102;Бензин
0;0;898000;12221,8900;1,6;102;Бензин
37000;22991;425000;5784,3000;1,6;103;Бензин
14000;8699;840000;11432,5100;1,6;102;Бензин
166444;103423;325000;4423,2900;1,4;75;Бензин
112214;69727;435700;5929,9300;1,6;103;Бензин
90000;55923;510000;6941,1600;1,6;82;Бензин
0;0;907000;12344,3900;1,6;113;Бензин
60000;37282;699000;9513,4800;1,6;82;Бензин
102265;63545;409000;5566,5400;1,6;84;Бензин
39430;24501;715000;9731,2400;1,6;113;Бензин
16512;10260;820000;11160,3000;1,6;102;Бензин
141540;87949;460000;6260,6600;1,6;84;Бензин
61239;38052;710000;9663,1900;1,6;82;Бензин
57526;35745;599000;8152,4700;1,6;113;Бензин
96000;59652;450000;6124,5600;1,6;84;Бензин
120250;74720;365000;4967,7000;1,6;103;Бензин
97256;60432;490000;6668,9600;1,6;84;Бензин
83283;51750;590000;8029,9700;1,6;82;Бензин
13951;8669;899000;12235,5000;1,6;113;Бензин
70154;43592;639000;8696,8700;1,6;82;Бензин
264200;164166;415000;5648,2000;1,6;84;Бензин
75825;47115;639000;8696,8700;1,6;82;Бензин
120000;74565;369000;5022,1400;1,6;84;Бензин
129885;80707;499000;6791,4500;1,6;103;Бензин
29000;18020;665000;9050,7300;1,6;82;Бензин
113090;70271;449000;6110,9500;1,6;103;Бензин
115504;71771;499000;6791,4500;1,6;84;Бензин
37000;22991;800000;10888,1000;1,6;82;Бензин
0;0;947000;12888,7900;1,6;102;Бензин
0;0;956000;13011,2800;1,6;102;Бензин
0;0;1030000;14018,4300;1,6;102;Бензин
127000;78914;395000;5376,0000;1,6;84;Бензин
104000;64623;410000;5580,1500;1,6;103;Бензин
19000;11806;595000;8098,0300;1,6;82;Бензин
143000;88856;359000;4886,0400;1,6;84;Бензин
190000;118060;290000;3946,9400;1,4;75;Бензин
0;0;845367;11505,5500;1,6;102;Бензин
83500;51884;400000;5444,0500;1,6;84;Бензин
54535;33886;680000;9254,8900;1,6;102;Бензин
31317;19459;580000;7893,8700;1,6;82;Бензин
52328;32515;647000;8805,7500;1,6;82;Бензин
0;0;951000;12943,2300;1,6;102;Бензин
45000;27962;649000;8832,9700;1,6;82;Бензин
31000;19263;580000;7893,8700;1,6;82;Бензин
72300;44925;520000;7077,2700;1,6;84;Бензин
98000;60894;565000;7689,7200;1,6;103;Бензин
146000;90720;375000;5103,8000;1,6;103;Бензин
64000;39768;699000;9513,4800;1,6;102;Бензин
83404;51825;390000;5307,9500;1,6;84;Бензин
72063;44778;355000;4831,6000;1,6;84;Бензин
90138;56009;599000;8152,4700;1,6;82;Бензин
80913;50277;370000;5035,7500;1,6;84;Бензин
43000;26719;745000;10139,5400;1,6;82;Бензин
91000;56545;330000;4491,3400;1,4;75;Бензин
90000;55923;380000;5171,8500;1,4;75;Бензин
81000;50331;795000;10820,0500;1,6;102;Бензин
1000;621;669990;9118,6500;1,6;82;Бензин
101811;63262;300000;4083,0400;1,4;75;Бензин
105200;65368;450000;6124,5600;1,6;103;Бензин
230000;142915;340000;4627,4400;1,6;103;Бензин
80400;49958;679000;9241,2800;1,6;102;Бензин
160000;99419;500000;6805,0600;1,6;103;Бензин
157500;97866;380000;5171,8500;1,4;75;Бензин
62627;38915;459000;6247,0500;1,6;84;Бензин
71449;44396;499000;6791,4500;1,6;82;Бензин
12700;7891;438000;5961,2400;1,4;75;Бензин
42000;26098;730000;9935,3900;1,6;113;Бензин
78150;48560;560000;7621,6700;1,6;82;Бензин
86700;53873;440000;5988,4600;1,6;84;Бензин
63104;39211;473600;6445,7600;1,6;82;Бензин
35623;22135;715001;9731,2500;1,6;82;Бензин
54980;34163;429000;5838,7400;1,6;84;Бензин
278800;173238;310000;4219,1400;1,6;84;Бензин
54867;34093;400000;5444,0500;1,4;75;Бензин
43785;27207;799000;10874,4900;1,6;113;Бензин
0;0;779000;10602,2900;1,6;102;Бензин
69800;43372;769000;10466,1900;1,6;113;Бензин
79694;49520;629887;8572,8400;1,6;102;Бензин
68852;42783;870000;11840,8100;1,6;113;Бензин
0;0;907000;12344,3900;1,6;113;Бензин
137000;85128;345000;4695,4900;1,4;75;Бензин
83248;51728;659000;8969,0700;1,6;82;Бензин
0;0;983000;13378,7500;1,6;113;Бензин
148165;92065;548000;7458,3500;1,6;102;Бензин
0;0;943000;12834,3500;1,6;82;Бензин
0;0;946000;12875,1800;1,6;102;Бензин
0;0;858000;11677,4900;1,6;113;Бензин
0;0;861000;11718,3200;1,6;82;Бензин
0;0;871000;11854,4200;1,6;82;Бензин
64300;39954;445000;6056,5100;1,6;84;Бензин
172811;107380;479750;6529,4600;1,6;103;Бензин
83000;51574;544750;7414,1200;1,6;103;Бензин
0;0;871000;11854,4200;1,6;82;Бензин
0;0;660600;8990,8500;1,6;82;Бензин
182000;113090;305000;4151,0900;1,4;75;Бензин
0;0;650600;8854,7500;1,6;82;Бензин
0;0;645600;8786,7000;1,6;113;Бензин
39211;24365;750000;10207,6000;1,6;82;Бензин
0;0;880000;11976,9100;1,6;82;Бензин
7000;4350;889000;12099,4000;1,6;113;Бензин
37000;22991;725000;9867,3400;1,6;113;Бензин
34043;21153;734000;9989,8300;1,6;102;Бензин
84000;52195;385000;5239,9000;1,6;84;Бензин
62898;39083;684000;9309,3300;1,6;82;Бензин
229020;142306;350000;4763,5400;1,4;75;Бензин
59000;36661;640000;8710,4800;1,6;113;Бензин
38503;23925;748000;10180,3800;1,6;82;Бензин
72000;44739;560000;7621,6700;1,6;103;Бензин
120000;74565;383000;5212,6800;1,6;84;Бензин
124760;77522;335000;4559,3900;1,6;84;Бензин
203200;126263;246000;3348,0900;1,4;75;Бензин
118000;73322;349000;4749,9300;1,6;84;Бензин
72535;45071;580000;7893,8700;1,6;84;Бензин
136900;85066;430000;5852,3500;1,6;103;Бензин
34248;21281;689000;9377,3800;1,6;82;Бензин
92282;57341;499000;6791,4500;1,6;103;Бензин
107250;66642;407000;5539,3200;1,6;103;Бензин
47659;29614;824199;11217,4500;1,6;113;Бензин
55000;34175;815000;11092,2500;1,6;113;Бензин
142548;88575;465479;6335,2300;1,6;103;Бензин
48191;29944;795197;10822,7300;1,6;113;Бензин
88000;54681;485000;6600,9100;1,6;103;Бензин
87000;54059;375000;5103,8000;1,6;84;Бензин
153000;95070;397000;5403,2200;1,6;103;Бензин
126000;78293;440000;5988,4600;1,6;84;Бензин
167109;103837;519000;7063,6600;1,6;113;Бензин
110478;68648;420000;5716,2500;1,4;75;Бензин
139000;86371;583000;7934,7000;1,6;82;Бензин
119122;74019;250000;3402,5300;1,4;75;Бензин
53320;33132;549000;7471,9600;1,6;82;Бензин
95526;59357;649000;8832,9700;1,6;113;Бензин
22000;13670;710000;9663,1900;1,6;103;Бензин
50065;31109;615000;8370,2300;1,6;102;Бензин
21166;13152;769000;10466,1900;1,6;82;Бензин
135000;83885;455000;6192,6100;1,6;84;Бензин
124600;77423;370000;5035,7500;1,6;84;Бензин
51100;31752;505000;6873,1100;1,6;84;Бензин
143000;88856;690000;9390,9900;1,6;102;Бензин
178650;111008;400000;5444,0500;1,6;84;Бензин
134761;83737;339000;4613,8300;1,4;75;Бензин
72000;44739;650000;8846,5800;1,6;82;Бензин
47988;29818;645000;8778,5300;1,6;82;Бензин
97000;60273;473000;6437,5900;1,6;103;Бензин
199900;124212;310000;4219,1400;1,4;75;Бензин
196480;122087;384000;5226,2900;1,6;84;Бензин
14000;8699;865000;11772,7600;1,6;82;Бензин
3656;2272;899000;12235,5000;1,6;113;Бензин
190712;118503;409000;5566,5400;1,6;84;Бензин
57217;35553;630000;8574,3800;1,6;82;Бензин
41495;25784;590000;8029,9700;1,6;84;Бензин
97000;60273;429000;5838,7400;1,6;84;Бензин
24383;15151;765150;10413,7900;1,6;82;Бензин
69000;42875;615000;8370,2300;1,6;113;Бензин
14000;8699;699000;9513,4800;1,6;82;Бензин
0;0;876000;11922,4700;1,6;82;Бензин
54741;34014;760000;10343,7000;1,6;102;Бензин
0;0;867000;11799,9800;1,6;82;Бензин
65000;40389;719000;9785,6800;1,6;82;Бензин
0;0;946000;12875,1800;1,6;102;Бензин
0;0;867000;11799,9800;1,6;82;Бензин
79906;49651;599854;8164,0900;1,6;82;Бензин
50000;31069;710000;9663,1900;1,6;102;Бензин
23017;14302;689000;9377,3800;1,6;82;Бензин
0;0;771100;10494,7700;1,6;102;Бензин
79000;49088;650000;8846,5800;1,6;102;Бензин
4900;3045;740000;10071,4900;1,6;82;Бензин
81632;50724;498000;6777,8400;1,2;75;Бензин
33742;20966;652000;8873,8000;1,6;82;Бензин
56000;34797;719000;9785,6800;1,6;102;Бензин
40000;24855;779000;10602,2900;1,6;102;Бензин
61391;38147;599000;8152,4700;1,6;102;Бензин
74181;46094;570000;7757,7700;1,6;82;Бензин
47000;29204;679000;9241,2800;1,6;102;Бензин
33000;20505;699000;9513,4800;1,6;102;Бензин
40522;25179;695000;9459,0400;1,6;102;Бензин
32426;20149;710000;9663,1900;1,6;102;Бензин
57;35;886000;12058,5700;1,6;113;Бензин
71264;44281;620000;8438,2800;1,6;82;Бензин
47;29;846000;11514,1700;1,6;82;Бензин
94;58;846000;11514,1700;1,6;82;Бензин
7000;4350;930000;12657,4200;1,6;102;Бензин
0;0;622300;8469,5800;1,6;82;Бензин
0;0;599300;8156,5500;1,6;82;Бензин
44000;27340;714000;9717,6300;1,6;82;Бензин
0;0;618300;8415,1400;1,6;82;Бензин
0;0;583300;7938,7900;1,6;82;Бензин
0;0;673300;9163,7000;1,6;82;Бензин
0;0;927000;12616,5900;1,6;102;Бензин
8800;5468;800000;10888,1000;1,6;113;Бензин
210000;130488;345000;4695,4900;1,4;75;Бензин
0;0;618300;8415,1400;1,6;82;Бензин
31193;19382;695000;9459,0400;1,6;82;Бензин
0;0;683300;9299,8000;1,6;102;Бензин
8000;4971;860000;11704,7100;1,6;82;Бензин
62128;38605;569000;7744,1600;1,6;84;Бензин
100401;62386;465000;6328,7100;1,6;82;Бензин
75314;46798;479000;6519,2500;1,6;84;Бензин
108000;67108;620000;8438,2800;1,6;82;Бензин
71421;44379;469000;6383,1500;1,6;84;Бензин
78029;48485;689000;9377,3800;1,6;102;Бензин
132564;82371;549000;7471,9600;1,6;102;Бензин
22336;13879;615000;8370,2300;1,6;82;Бензин
79000;49088;595000;8098,0300;1,6;82;Бензин
128000;79535;372000;5062,9700;1,4;75;Бензин
0;0;669300;9109,2600;1,6;102;Бензин
333923;207490;359999;4899,6300;1,6;84;Бензин
0;0;623300;8483,1900;1,6;82;Бензин
0;0;658300;8959,5500;1,6;113;Бензин
47000;29204;679900;9253,5300;1,6;102;Бензин
47193;29324;708000;9635,9700;1,6;102;Бензин
0;0;669300;9109,2600;1,6;102;Бензин
0;0;669300;9109,2600;1,6;102;Бензин
95011;59037;365000;4967,7000;1,6;84;Бензин
0;0;679300;9245,3600;1,6;102;Бензин
0;0;755300;10279,7300;1,6;102;Бензин
130000;80778;420000;5716,2500;1,6;84;Бензин
0;0;668300;9095,6500;1,6;102;Бензин
0;0;683300;9299,8000;1,6;102;Бензин
8200;5095;950000;12929,6200;1,6;113;Бензин
0;0;608300;8279,0400;1,6;82;Бензин
15000;9321;740000;10071,4900;1,6;82;Бензин
0;0;703300;9572,0000;1,6;102;Бензин
232329;144363;235000;3198,3800;1,6;84;Бензин
139000;86371;675000;9186,8400;1,6;102;Бензин
0;0;771300;10497,4900;1,6;102;Бензин
15007;9325;800000;10888,1000;1,6;102;Бензин
160434;99689;360000;4899,6500;1,6;84;Бензин
160000;99419;357000;4858,8200;1,4;75;Бензин
17000;10563;885000;12044,9600;1,6;113;Бензин
0;0;688300;9367,8500;1,6;102;Бензин
55008;34180;569000;7744,1600;1,6;84;Бензин
0;0;916000;12466,8800;1,6;113;Бензин
111635;69367;415000;5648,2000;1,6;84;Бензин
0;0;983000;13378,7500;1,6;113;Бензин
126569;78646;371500;5056,1600;1,6;84;Бензин
0;0;639300;8700,9500;1,6;113;Бензин
85843;53340;680000;9254,8900;1,6;102;Бензин
154000;95691;289000;3933,3300;1,4;75;Бензин
55948;34764;749000;10193,9900;1,6;82;Бензин
0;0;876000;11922,4700;1,6;82;Бензин
124000;77050;530000;7213,3700;1,6;84;Бензин
0;0;916000;12466,8800;1,6;113;Бензин
0;0;867000;11799,9800;1,6;82;Бензин
75000;46603;475000;6464,8100;1,6;82;Бензин
0;0;849107;11556,4500;1,6;102;Бензин
33000;20505;709000;9649,5800;1,6;113;Бензин
380;236;790000;10752,0000;1,6;82;Бензин
76100;47286;439000;5974,8500;1,6;84;Бензин
0;0;936000;12739,0800;1,6;113;Бензин
39500;24544;765000;10411,7500;1,6;102;Бензин
17500;10874;685000;9322,9400;1,6;82;Бензин
50484;31369;598000;8138,8600;1,6;84;Бензин
0;0;729600;9929,9500;1,6;102;Бензин
0;0;720600;9807,4600;1,6;102;Бензин
31473;19556;689000;9377,3800;1,6;102;Бензин
58200;36164;609000;8288,5700;1,6;102;Бензин
113000;70215;345000;4695,4900;1,4;75;Бензин
0;0;673600;9167,7800;1,6;82;Бензин
0;0;730600;9943,5600;1,6;102;Бензин
0;0;720600;9807,4600;1,6;102;Бензин
0;0;792400;10784,6600;1,6;113;Бензин
0;0;730600;9943,5600;1,6;102;Бензин
0;0;660600;8990,8500;1,6;82;Бензин
0;0;806400;10975,2100;1,6;102;Бензин
0;0;615600;8378,3900;1,6;82;Бензин
0;0;739600;10066,0500;1,6;102;Бензин
0;0;506600;6894,8900;1,6;82;Бензин
0;0;650600;8854,7500;1,6;82;Бензин
0;0;720600;9807,4600;1,6;102;Бензин
0;0;744300;10130,0200;1,6;102;Бензин
90000;55923;310000;4219,1400;1,6;84;Бензин
0;0;700600;9535,2500;1,6;113;Бензин
0;0;739600;10066,0500;1,6;102;Бензин
0;0;608300;8279,0400;1,6;82;Бензин
0;0;705300;9599,2200;1,6;113;Бензин
0;0;729300;9925,8700;1,6;102;Бензин
0;0;660600;8990,8500;1,6;82;Бензин
94800;58906;320000;4355,2400;1,6;84;Бензин
0;0;649300;8837,0600;1,6;113;Бензин
0;0;709600;9657,7500;1,6;113;Бензин
5;3;801000;10901,7100;1,6;82;Бензин
0;0;683300;9299,8000;1,6;102;Бензин
0;0;806400;10975,2100;1,6;102;Бензин
0;0;669600;9113,3400;1,6;82;Бензин
0;0;660600;8990,8500;1,6;82;Бензин
98258;61055;544000;7403,9100;1,6;82;Бензин
0;0;699600;9521,6400;1,6;113;Бензин
0;0;739600;10066,0500;1,6;102;Бензин
0;0;679300;9245,3600;1,6;102;Бензин
0;0;608300;8279,0400;1,6;82;Бензин
0;0;706300;9612,8300;1,6;113;Бензин
0;0;907000;12344,3900;1,6;113;Бензин
0;0;660600;8990,8500;1,6;82;Бензин
0;0;609300;8292,6500;1,6;82;Бензин
0;0;983000;13378,7500;1,6;113;Бензин
0;0;709600;9657,7500;1,6;113;Бензин
0;0;751600;10229,3700;1,6;102;Бензин
0;0;806400;10975,2100;1,6;102;Бензин
0;0;736400;10022,5000;1,6;82;Бензин
5472;3400;925000;12589,3700;1,6;102;Бензин
0;0;679300;9245,3600;1,6;102;Бензин
0;0;609300;8292,6500;1,6;82;Бензин
0;0;739600;10066,0500;1,6;102;Бензин
0;0;776400;10566,9000;1,6;113;Бензин
110000;68351;330000;4491,3400;1,6;103;Бензин
0;0;867000;11799,9800;1,6;82;Бензин
0;0;578300;7870,7400;1,6;82;Бензин
0;0;715300;9735,3200;1,6;113;Бензин
0;0;730600;9943,5600;1,6;102;Бензин
0;0;806400;10975,2100;1,6;102;Бензин
0;0;641600;8732,2600;1,6;82;Бензин
0;0;583300;7938,7900;1,6;82;Бензин
0;0;631445;8594,0500;1,6;82;Бензин
32000;19884;760000;10343,7000;1,6;102;Бензин
17000;10563;754000;10262,0400;1,6;82;Бензин
34000;21127;789000;10738,3900;1,6;102;Бензин
0;0;656600;8936,4100;1,6;82;Бензин
18004;11187;934000;12711,8600;1,6;102;Бензин
60500;37593;744000;10125,9300;1,6;113;Бензин
52000;32311;480311;6537,0900;1,6;82;Бензин
103200;64125;515000;7009,2200;1,6;82;Бензин
87000;54059;644000;8764,9200;1,6;82;Бензин
103076;64048;594000;8084,4200;1,6;82;Бензин
80000;49710;660000;8982,6800;1,6;102;Бензин
29000;18020;624000;8492,7200;1,6;82;Бензин
0;0;736400;10022,5000;1,6;82;Бензин
0;0;609300;8292,6500;1,6;82;Бензин
0;0;729600;9929,9500;1,6;102;Бензин
0;0;660600;8990,8500;1,6;82;Бензин
0;0;755300;10279,7300;1,6;102;Бензин
0;0;806400;10975,2100;1,6;102;Бензин
70707;43935;780000;10615,9000;1,6;82;Бензин
0;0;739600;10066,0500;1,6;102;Бензин
0;0;685300;9327,0200;1,6;82;Бензин
0;0;660600;8990,8500;1,6;82;Бензин
0;0;706300;9612,8300;1,6;113;Бензин
0;0;679300;9245,3600;1,6;102;Бензин
99500;61826;400000;5444,0500;1,6;84;Бензин
0;0;857000;11663,8800;1,6;82;Бензин
0;0;725300;9871,4300;1,6;113;Бензин
0;0;679300;9245,3600;1,6;102;Бензин
0;0;757200;10305,5900;1,6;113;Бензин
0;0;771300;10497,4900;1,6;102;Бензин
0;0;688300;9367,8500;1,6;102;Бензин
0;0;688300;9367,8500;1,6;102;Бензин
0;0;730600;9943,5600;1,6;102;Бензин
48034;29847;520000;7077,2700;1,6;82;Бензин
0;0;709800;9660,4700;1,6;113;Бензин
220128;136781;355000;4831,6000;1,6;84;Бензин
0;0;761300;10361,3900;1,6;102;Бензин
18944;11771;726000;9880,9500;1,6;82;Бензин
0;0;776400;10566,9000;1,6;113;Бензин
0;0;757200;10305,5900;1,6;113;Бензин
73000;45360;750000;10207,6000;1,6;102;Бензин
0;0;623300;8483,1900;1,6;82;Бензин
0;0;679300;9245,3600;1,6;102;Бензин
0;0;623300;8483,1900;1,6;82;Бензин
0;0;650300;8850,6700;1,6;113;Бензин
0;0;688300;9367,8500;1,6;102;Бензин
0;0;660600;8990,8500;1,6;82;Бензин
0;0;669600;9113,3400;1,6;82;Бензин
0;0;688300;9367,8500;1,6;102;Бензин
0;0;822400;11192,9700;1,6;102;Бензин
0;0;725300;9871,4300;1,6;113;Бензин
0;0;650600;8854,7500;1,6;82;Бензин
0;0;806400;10975,2100;1,6;102;Бензин
0;0;876000;11922,4700;1,6;82;Бензин
0;0;700600;9535,2500;1,6;113;Бензин
68000;42253;479000;6519,2500;1,6;84;Бензин
0;0;700600;9535,2500;1,6;113;Бензин
0;0;841100;11447,4800;1,6;113;Бензин
0;0;660600;8990,8500;1,6;82;Бензин
0;0;739600;10066,0500;1,6;102;Бензин
57000;35418;550000;7485,5700;1,6;103;Бензин
0;0;900000;12249,1100;1,6;82;Бензин
0;0;736400;10022,5000;1,6;82;Бензин
0;0;778300;10592,7600;1,6;102;Бензин
123896;76985;489000;6655,3500;1,6;84;Бензин
0;0;701600;9548,8700;1,6;102;Бензин
166500;103458;320000;4355,2400;1,4;75;Бензин
0;0;650600;8854,7500;1,6;82;Бензин
0;0;957000;13024,8900;1,6;102;Бензин
109000;67729;367000;4994,9200;1,6;84;Бензин
0;0;957000;13024,8900;1,6;113;Бензин
0;0;943000;12834,3500;1,6;82;Бензин
0;0;730600;9943,5600;1,6;102;Бензин
0;0;970000;13201,8200;1,6;102;Бензин
0;0;896000;12194,6700;1,6;82;Бензин
0;0;1049000;14277,0200;1,6;102;Бензин
